Name,Date,Close
Quant Active Fund Gr,24-10-2019,186.1045
Quant Active Fund Gr,23-10-2019,187.4873
Quant Active Fund Gr,22-10-2019,186.063
Quant Active Fund Gr,18-10-2019,184.0682
Quant Active Fund Gr,17-10-2019,181.2495
Quant Active Fund Gr,16-10-2019,178.7587
Quant Active Fund Gr,15-10-2019,175.4392
Quant Active Fund Gr,14-10-2019,174.045
Quant Active Fund Gr,11-10-2019,172.6048
Quant Active Fund Gr,10-10-2019,172.0018
Quant Active Fund Gr,09-10-2019,174.0035
Quant Active Fund Gr,07-10-2019,172.3251
Quant Active Fund Gr,04-10-2019,173.7208
Quant Active Fund Gr,03-10-2019,176.6762
Quant Active Fund Gr,01-10-2019,176.7051
Quant Active Fund Gr,30-09-2019,176.9052
Quant Active Fund Gr,27-09-2019,177.8227
Quant Active Fund Gr,26-09-2019,177.6167
Quant Active Fund Gr,25-09-2019,175.2946
Quant Active Fund Gr,24-09-2019,177.8148
Quant Active Fund Gr,23-09-2019,178.8139
Quant Active Fund Gr,20-09-2019,174.8857
Quant Active Fund Gr,19-09-2019,165.3622
Quant Active Fund Gr,18-09-2019,167.2632
Quant Active Fund Gr,17-09-2019,165.5552
Quant Active Fund Gr,16-09-2019,169.6932
Quant Active Fund Gr,13-09-2019,171.3592
Quant Active Fund Gr,12-09-2019,170.6834
Quant Active Fund Gr,11-09-2019,171.3374
Quant Active Fund Gr,09-09-2019,170.7594
Quant Active Fund Gr,06-09-2019,169.5678
Quant Active Fund Gr,05-09-2019,167.2972
Quant Active Fund Gr,04-09-2019,167.5716
Quant Active Fund Gr,03-09-2019,167.2577
Quant Active Fund Gr,30-08-2019,170.4405
Quant Active Fund Gr,29-08-2019,169.042
Quant Active Fund Gr,28-08-2019,170.8669
Quant Active Fund Gr,27-08-2019,170.7237
Quant Active Fund Gr,26-08-2019,167.6774
Quant Active Fund Gr,23-08-2019,163.5216
Quant Active Fund Gr,22-08-2019,162.9895
Quant Active Fund Gr,21-08-2019,165.6782
Quant Active Fund Gr,20-08-2019,169.097
Quant Active Fund Gr,19-08-2019,171.2623
Quant Active Fund Gr,16-08-2019,171.7806
Quant Active Fund Gr,14-08-2019,170.1201
Quant Active Fund Gr,13-08-2019,167.3811
Quant Active Fund Gr,09-08-2019,171.6874
Quant Active Fund Gr,08-08-2019,170.0942
Quant Active Fund Gr,07-08-2019,168.2852
Quant Active Fund Gr,06-08-2019,170.7068
Quant Active Fund Gr,05-08-2019,168.0607
Quant Active Fund Gr,02-08-2019,170.5876
Quant Active Fund Gr,01-08-2019,170.1559
Quant Active Fund Gr,31-07-2019,173.4209
Quant Active Fund Gr,30-07-2019,171.6973
Quant Active Fund Gr,29-07-2019,174.7833
Quant Active Fund Gr,26-07-2019,178.2724
Quant Active Fund Gr,25-07-2019,177.3253
