Date,Close,Nifty50
11-24-2017,175.3924,10348.75
11-23-2017,175.7312,10342.3
11-22-2017,175.7982,10326.9
11-21-2017,174.1813,10298.75
11-20-2017,173.8668,10283.6
11-17-2017,172.1246,10214.75
11-16-2017,171.0778,10118.05
11-15-2017,170.4554,10186.6
11-14-2017,171.0824,10224.95
11-13-2017,169.6072,10321.75
11-10-2017,171.2601,10308.95
11-09-2017,170.5058,10303.15
11-08-2017,169.977,10350.15
11-07-2017,170.1713,10451.8
11-06-2017,171.8959,10452.5
11-03-2017,171.595,10423.8
11-02-2017,170.8202,10440.5
11-01-2017,171.3254,10335.3
10-31-2017,169.5497,10363.65
10-30-2017,169.9177,10323.05
10-27-2017,168.3118,10343.8
10-26-2017,167.6925,10295.35
10-25-2017,167.1441,10207.7
10-24-2017,165.2697,10184.85
10-23-2017,165.2397,10146.55
10-18-2017,164.3086,10210.85
10-17-2017,164.6305,10234.45
10-16-2017,164.5749,10230.85
10-13-2017,164.0406,10167.45
10-12-2017,163.7623,10096.4
10-11-2017,162.855,9984.8
10-10-2017,163.7094,10016.95
10-09-2017,163.4174,9988.75
10-06-2017,163.1923,9979.7
10-05-2017,161.7294,9888.7
10-04-2017,161.4145,9914.9
10-03-2017,161.0121,9859.5
09-29-2017,160.2146,9788.6
09-28-2017,159.4878,9768.95
09-27-2017,158.7792,9735.75
09-26-2017,161.6615,9871.5
09-25-2017,160.8071,9872.6
09-22-2017,162.9841,9964.4
09-21-2017,166.5988,10121.9
09-20-2017,167.3884,10141.15
09-19-2017,167.6439,10147.55
09-18-2017,167.2585,10153.1
09-15-2017,166.6299,10085.4
09-14-2017,166.8239,10086.6
09-13-2017,166.885,10079.3
09-12-2017,167.4388,10093.05
09-11-2017,165.1109,10006.05
09-08-2017,163.4675,9934.8
09-07-2017,163.0518,9929.9
09-06-2017,161.4171,9916.2
09-05-2017,161.487,9952.2
09-04-2017,160.9799,9912.85
09-01-2017,162.0013,9974.4
08-31-2017,160.9025,9917.9
08-30-2017,160.8359,9884.4
08-29-2017,159.5131,9796.05
08-28-2017,160.8567,9912.8
08-24-2017,159.5948,9857.05
08-23-2017,159.9414,9852.5
08-22-2017,158.5465,9765.55
08-21-2017,159.2946,9754.35
08-18-2017,160.0516,9837.4
08-17-2017,160.9603,9904.15
08-16-2017,161.3964,9897.3
08-14-2017,160.2779,9794.15
08-11-2017,157.6224,9710.8
08-10-2017,157.922,9820.25
08-09-2017,160.2474,9908.05
08-08-2017,162.3317,9978.55
08-07-2017,159.0499,10057.4
08-04-2017,157.3295,10066.4
08-03-2017,157.7149,10013.65
08-02-2017,158.4262,10081.5
08-01-2017,158.8334,10114.65
07-31-2017,159.1024,10077.1
07-28-2017,158.498,10014.5
07-27-2017,158.1758,10020.55
07-26-2017,158.866,10020.65
07-25-2017,158.485,9964.55
07-24-2017,157.8619,9966.4
07-21-2017,158.4317,9915.25
07-20-2017,158.7965,9873.3
07-19-2017,158.1663,9899.6
07-18-2017,157.3122,9827.15
07-17-2017,157.6013,9915.95
07-14-2017,157.3454,9886.35
07-13-2017,157.7982,9891.7
07-12-2017,157.1664,9816.1
07-11-2017,156.5513,9786.05
07-10-2017,157.2984,9771.05
07-07-2017,156.5905,9665.8
07-06-2017,156.9251,9674.55
07-05-2017,157.4018,9637.6
07-04-2017,156.6193,9613.3
07-03-2017,155.7005,9615
06-30-2017,154.1923,9520.9
06-29-2017,153.3447,9504.1
06-28-2017,152.0478,9491.25
06-27-2017,152.1076,9511.4
06-23-2017,153.6723,9574.95
06-22-2017,155.5434,9630
06-21-2017,156.2693,9633.6
06-20-2017,156.429,9653.5
06-19-2017,155.4055,9657.55
06-16-2017,154.6603,9588.05
06-15-2017,154.044,9578.05
06-14-2017,153.9255,9618.15
06-13-2017,153.5704,9606.9
06-12-2017,154.4866,9616.4
06-09-2017,155.2453,9668.25
06-08-2017,155.0258,9647.25
06-07-2017,155.0964,9663.9
06-06-2017,153.7274,9637.15
06-05-2017,154.2633,9675.1
06-02-2017,153.3405,9653.5
06-01-2017,153.113,9616.1
